Symbol,Company,Yield Percentage,Next Ex-div Date
PEAK,Healthpeak Properties,4.235%,2020-02-14
HEI,Heico Corporation,0.141%,2020-01-08
HP,Helmerich & Payne,7.157%,2020-02-07
HT,Hersha Hospitality Trust,9.365%,2020-01-02
HSY,Hershey,1.965%,2020-02-20
HES,Hess,1.742%,2019-12-13
HPE,Hewlett Packard Enterprise,3.681%,2020-03-10
HPQ,Hewlett-Packard,3.018%,2020-03-10
HIW,Highwoods Properties,3.829%,2020-02-14
HRC,Hill-Rom Holdings,0.822%,2019-12-13
HI,Hillenbrand,3.38%,2020-03-16
HEP,Holly Energy Partners,11.95%,2020-01-31
HFC,HollyFrontier,3.672%,2020-02-21
HD,Home Depot,2.528%,2020-03-11
HMC,Honda Motor Co (ADR),3.946%,2019-12-27
HON,Honeywell Intl,2.145%,2020-02-27
HMN,Horace Mann Educators Corporation,2.689%,2019-12-13
HRL,Hormel Foods,2.08%,2020-01-10
HST,Host Hotels & Resorts Inc.,5.373%,2020-03-30
HUBB,Hubbell,2.665%,2020-02-27
HUM,Humana,0.761%,2020-03-30
HII,Huntington Ingalls Industries,1.849%,2020-02-27
H,Hyatt Hotels Corporation Class A,1.007%,2020-02-25
HY,Hyster-Yale Materials Handling Inc. Class A,2.537%,2020-02-28
IDA,IDACORP,2.459%,2020-02-04
IEX,IDEX Corporation,1.228%,2020-01-14
ING,ING Group N.V.,5.439%,2019-08-09
ITT,ITT,1.076%,2020-03-13
ITW,Illinois Tool Works,2.41%,2020-03-30
IR,Ingersoll-Rand plc (Ireland),1.536%,2020-03-12
INGR,Ingredion Incorporated,2.747%,2019-12-31
IIPR,Innovative Industrial Properties Inc.,4.161%,2019-12-30
NSP,Insperity,2.308%,2020-03-04
IHG,InterContinental Hotels Group PLC ADS,2.961%,2020-04-02
ICE,Intercontinental Exchange,1.305%,2020-03-16
IBM,International Bus. Machines,4.573%,2020-02-07
IFF,International Flavors & Fragrances,2.421%,2019-12-26
IGT,International Game Technology,6.446%,2019-11-27
IP,International Paper,5.226%,2020-02-20
IPG,Interpublic Group,4.406%,2020-02-28
IVZ,Invesco,7.818%,2020-02-12
IVR,Invesco Mortgage Capital,11.325%,2019-12-26
